ID;layanan_ID;last_layanan_ID;old_antrian_ID;display_loket_ID;prefix;antrian_no;status_print;loket_no;sid;user_ID;loket_call;tingkat_kepuasan;tanggal;ambil;mulai;akhir;leave;pending;detail;detail_android;priority;active;google_token;lokasi_ambil;central_loket_start;central_loket_end;central_loket_khusus;tanggal_booking;sync_online;pc_name;metode_pembayaran_ID
33;8;8;10;8;;7;0;8;8;1;1;-;2022-10-04;07:21:47;07:55:54;08:10:49;0;0;;;0;;;kiosk;;;;;0;DELL2;
34;8;8;12;8;;9;0;8;8;1;1;-;2022-10-04;07:22:03;08:10:49;08:16:09;0;0;;;0;;;kiosk;;;;;0;DELL2;
35;9;9;14;9;;11;0;9;9;1;1;-;2022-10-04;07:24:10;08:02:35;08:05:22;0;0;;;0;;;kiosk;;;;;0;PENGOBATAN_UMUM;
36;1;1;;1;;28;0;2;1001;1;1;-;2022-10-04;07:24:35;07:36:29;07:37:45;1;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
37;1;1;;1;;29;0;2;1001;1;1;-;2022-10-04;07:24:48;07:37:45;07:39:06;1;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
38;1;1;;1;;30;0;1;1;1;1;-;2022-10-04;07:24:55;07:38:46;07:40:05;1;0;;;0;;;kiosk;;;;;0;LOKET-PC;
39;1;1;;1;;31;0;2;1001;1;1;-;2022-10-04;07:25:05;07:39:06;07:39:35;0;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
40;1;1;;1;;32;0;2;1001;1;1;-;2022-10-04;07:25:19;07:39:35;07:39:46;0;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
41;1;1;;1;;33;0;2;1001;1;1;-;2022-10-04;07:26:03;07:39:46;07:40:54;1;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
42;3;3;17;3;;14;0;3;3;1;1;-;2022-10-04;07:26:48;07:49:49;09:05:06;0;0;;;0;;;kiosk;;;;;0;RUANGKB-PC;
43;8;8;18;8;;15;0;8;8;1;1;-;2022-10-04;07:28:04;08:16:09;08:17:24;0;0;;;0;;;kiosk;;;;;0;DELL2;
44;9;9;19;9;;16;0;9;9;1;1;-;2022-10-04;07:29:01;08:05:22;08:09:36;0;0;;;0;;;kiosk;;;;;0;PENGOBATAN_UMUM;
45;1;1;;1;;34;0;1;1;1;1;-;2022-10-04;07:29:01;07:40:05;07:41:37;1;0;;;0;;;kiosk;;;;;0;LOKET-PC;
46;7;7;21;;;18;0;0;0;0;0;-;2022-10-04;07:29:53;;;0;0;;;0;;;kiosk;;;;;0;LOKET-PC;
47;1;1;;1;;35;0;2;1001;1;1;-;2022-10-04;07:30:57;07:40:54;07:42:17;0;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
48;7;7;22;;;19;0;0;0;0;0;-;2022-10-04;07:31:02;;;0;0;;;0;;;kiosk;;;;;0;LOKET-PC;
49;8;8;20;8;;17;0;8;8;1;1;-;2022-10-04;07:31:49;08:17:24;08:22:22;0;0;;;0;;;kiosk;;;;;0;DELL2;
50;9;9;23;9;;20;0;9;9;1;1;-;2022-10-04;07:31:52;08:09:36;08:13:46;0;0;;;0;;;kiosk;;;;;0;PENGOBATAN_UMUM;
51;1;1;;1;;36;0;1;1;1;1;-;2022-10-04;07:32:32;07:41:37;07:43:31;1;0;;;0;;;kiosk;;;;;0;LOKET-PC;
52;1;1;;1;;37;0;2;1001;1;1;-;2022-10-04;07:33:00;07:42:17;07:43:54;1;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
53;4;4;25;4;;22;0;4;4;1;1;-;2022-10-04;07:33:07;08:09:55;08:16:20;0;0;;;0;;;kiosk;;;;;0;;
54;1;1;;1;;38;0;1;1;1;1;-;2022-10-04;07:33:13;07:43:31;07:45:19;1;0;;;0;;;kiosk;;;;;0;LOKET-PC;
55;1;1;;1;;39;0;2;1001;1;1;-;2022-10-04;07:33:17;07:43:54;07:44:59;1;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
56;8;8;24;8;;21;0;8;8;1;1;-;2022-10-04;07:33:35;08:22:22;08:26:00;0;0;;;0;;;kiosk;;;;;0;DELL2;
57;9;9;27;9;;24;0;9;9;1;1;-;2022-10-04;07:35:06;08:13:46;08:14:56;0;0;;;0;;;kiosk;;;;;0;PENGOBATAN_UMUM;
